comparison_family,old_model,new_model,split,segment,metric,old_value,new_value,absolute_delta,relative_delta_pct,improvement_direction,improvement_label
negative_binomial,negative_binomial_b,negative_binomial_b2,test,all,mae,0.073354731680047,0.07290046696896935,-0.000454264711077651,-0.619271178114355,lower_is_better,none
negative_binomial,negative_binomial_b,negative_binomial_b2,test,all,rmse,0.2368666010605704,0.23746481926140883,0.0005982182008384407,0.2525548972121516,lower_is_better,none
negative_binomial,negative_binomial_b,negative_binomial_b2,test,all,pearson_dispersion,2.0429949757748505,2.0872494307604494,0.04425445498559899,2.166155840339966,lower_is_better,none
negative_binomial,negative_binomial_b,negative_binomial_b2,test,all,calibration_mean_abs_gap,0.0288252011979641,0.030119354696561334,0.0012941534985972322,4.489659897633731,lower_is_better,none
negative_binomial,negative_binomial_b,negative_binomial_b2,test,all,calibration_max_abs_gap,0.1349757569492087,0.14390899356147535,0.008933236612266665,6.6184008255854705,lower_is_better,none
negative_binomial,negative_binomial_b,negative_binomial_b2,test,positive_obs,mean_poisson_deviance,4.83372862211794,4.958404687884921,0.1246760657669812,2.5792938642954537,lower_is_better,none
negative_binomial,negative_binomial_b,negative_binomial_b2,test,positive_obs,mae,0.990632436327243,0.9985190534132888,0.007886617086045877,0.7961194078487284,lower_is_better,none
negative_binomial,negative_binomial_b,negative_binomial_b2,test,positive_obs,rmse,1.0285480011135086,1.0351453485516402,0.006597347438131562,0.6414233882122427,lower_is_better,none
negative_binomial,negative_binomial_b,negative_binomial_b2,test,positive_obs,predicted_mean,0.06843930873113699,0.06004477800546468,-0.008394530725672311,-12.265656800611655,contextual_readout,descriptive
negative_binomial,negative_binomial_b,negative_binomial_b2,test,positive_obs,predicted_p95,0.22042225442330718,0.18027151623100052,-0.04015073819230666,-18.215374077065594,contextual_readout,descriptive
negative_binomial,negative_binomial_b,negative_binomial_b2,test,zero_obs,mean_poisson_deviance,0.046923482896005,0.04510759132622048,-0.0018158915697845252,-3.86989937172615,lower_is_better,material
negative_binomial,negative_binomial_b,negative_binomial_b2,test,zero_obs,mae,0.0234617414480025,0.02255379566311024,-0.0009079457848922626,-3.86989937172615,lower_is_better,material
negative_binomial,negative_binomial_b,negative_binomial_b2,test,zero_obs,rmse,0.04018877830795115,0.03426043850817673,-0.005928339799774425,-14.7512316854915,lower_is_better,material
negative_binomial,negative_binomial_b,negative_binomial_b2,test,zero_obs,predicted_mean,0.0234617414480025,0.02255379566311024,-0.0009079457848922626,-3.86989937172615,contextual_readout,descriptive
negative_binomial,negative_binomial_b,negative_binomial_b2,test,zero_obs,predicted_p95,0.06673743915359484,0.06031477630231248,-0.00642266285128236,-9.623777796598898,contextual_readout,descriptive
