sensor_id,accident_rows,years_present_n,first_year,last_year,top_distrito,top_temporal_bin_4h,cumulative_missing_rows,cumulative_missing_rows_pct,missing_sensor_rank,tipo_elem,distrito_sensor,sensor_name,latitud,longitud,in_official_sensor_locations
4098,33,9,2016,2024,arganzuela,16_19,13294,82.01,139,URB,2,(FICTICIO)EMBAJADORES S-N(TUNEL +SUPERFICIE)(SODIO-ANTRACITA),40.3893647776972,-3.69180325771632,TRUE
4332,33,7,2018,2024,moncloa-aravaca,08_11,13327,82.21,140,,,,,,FALSE
4893,33,7,2016,2024,latina,04_07,13360,82.42,141,,,,,,FALSE
7133,33,8,2016,2024,centro,20_23,13393,82.62,142,URB,1,ATOCHA E-O (GIRO A FERNAN NUNEZ)(SAN EUGENIO-FERNAN NUNEZ),40.4116638794353,-3.69772605935411,TRUE
9876,33,7,2016,2024,hortaleza,12_15,13426,82.83,143,URB,16,Ana de Austria - Isabel Clara Eugenia-Niceto Alcalá Zamora,40.4961666340129,-3.65528714872093,TRUE
10567,33,8,2016,2024,fuencarral-el pardo,12_15,13459,83.03,144,URB,8,(MICRO) PORTICO DE LA GLORIA (JUNTO GR-5),40.5135958678368,-3.66467978430631,TRUE
11368,33,5,2019,2024,fuencarral-el pardo,08_11,13492,83.23,145,M30,8,PM13118,40.4833439000282,-3.68866159667405,TRUE
3780,32,7,2018,2024,moratalaz,12_15,13524,83.43,146,,,,,,FALSE
4801,32,7,2017,2024,usera,08_11,13556,83.63,147,,,,,,FALSE
9857,32,7,2016,2024,ciudad lineal,16_19,13588,83.82,148,URB,15,Acceso Cuesta Sagrado Corazón -O - M-30-Cuesta Sagrado Corazón,40.4675473979184,-3.66767004127901,TRUE
11354,32,7,2016,2023,fuencarral-el pardo,12_15,13620,84.02,149,URB,8,CCTV - AV. SANTUARIO VALVERDE ENTRE (MONASTERIO DE POYO Y MONSTERIO SOBRADO),40.5093468841046,-3.69541940609127,TRUE
3450,31,8,2016,2024,chamartÃ­n,12_15,13651,84.21,150,,,,,,FALSE
7098,31,8,2016,2024,moncloa-aravaca,20_23,13682,84.4,151,,,,,,FALSE
11206,31,9,2016,2024,arganzuela,16_19,13713,84.6,152,URB,2,STA. Ma CABEZA N-S(PM13030+13032) LATERALES TUNEL,40.404523380312,-3.69606541322589,TRUE
11339,31,6,2018,2024,chamartÃ­n,16_19,13744,84.79,153,URB,5,(TACTICO)(CARRIL-BUS)AV.BURGOS S-N,40.4809290199234,-3.6757196699823,TRUE
7064,30,7,2017,2024,chamberÃ­,20_23,13774,84.97,154,,,,,,FALSE
6002,29,5,2020,2024,san blas-canillejas,00_03,13803,85.15,155,,,,,,FALSE
11203,29,8,2016,2024,barajas,12_15,13832,85.33,156,URB,21,Fuerzas Armadas- Acceso Gta Antoñete - Gta. Anibal Gonzalez-Gta Antoñete,40.4815842624658,-3.60665371905726,TRUE
3968,28,6,2016,2024,chamartÃ­n,16_19,13860,85.5,157,URB,4,Maria Molina O-E - Principe Vergara-General Pardiñas,40.4373810137056,-3.67879386082092,TRUE
5868,28,6,2019,2024,puente de vallecas,20_23,13888,85.68,158,URB,13,Sierra de Cameros - Peña Gorbea-Av. Albufera,40.3956992177182,-3.6646695497843,TRUE
6987,28,7,2018,2024,vicÃ¡lvaro,16_19,13916,85.85,159,URB,19,Bulevar José Prat - Bulevar Indalecio Prieto-Ladera de los Almendros,40.3982111348182,-3.62392727515602,TRUE
11362,28,5,2020,2024,fuencarral-el pardo,08_11,13944,86.02,160,M30,8,PM43019,40.4864068150629,-3.69602827642806,TRUE
3635,27,7,2016,2024,carabanchel,20_23,13971,86.19,161,URB,12,MICRO MARCELO USERA CCTV,40.3852449261311,-3.71674268739512,TRUE
4778,27,6,2019,2024,usera,08_11,13998,86.35,162,,,,,,FALSE
7070,27,7,2016,2024,salamanca,12_15,14025,86.52,163,URB,4,(FICTICIO) Dr.Esquerdo N-S - (FICTICIO)Jorge Juan - Duque de Sesto,40.4228107731466,-3.66891549801606,TRUE
10146,27,8,2017,2024,hortaleza,20_23,14052,86.69,164,URB,16,Silvano - M-40-Haendel,40.4626143139403,-3.62474462069692,TRUE
10164,27,7,2016,2024,puente de vallecas,16_19,14079,86.85,165,URB,13,La Mancha - Guadalcazar-Av. Entrevías,40.3811277805085,-3.66933857528027,TRUE
11054,27,5,2016,2024,villaverde,20_23,14106,87.02,166,URB,17,(MICRO) EDUARDO BARREIROS N-S(GIRO A CORTE DEL FARAON),40.3621182894821,-3.70044686466376,TRUE
3877,26,7,2016,2024,retiro,20_23,14132,87.18,167,,,,,,FALSE
4069,26,9,2016,2024,retiro,16_19,14158,87.34,168,,,,,,FALSE
10070,26,6,2019,2024,fuencarral-el pardo,12_15,14184,87.5,169,URB,8,(MICRO)COSTA BRAVA (DETRÁS GRUPO 16),40.495851167656,-3.71906527405175,TRUE
11378,26,6,2019,2024,san blas-canillejas,12_15,14210,87.66,170,URB,20,San Romualdo - Cronos-Julian Camarillo,40.4366304961125,-3.62084655025779,TRUE
3969,25,8,2016,2024,chamartÃ­n,16_19,14235,87.82,171,URB,5,Maria Molina E-O - Fco. Silvela-Principe Vergara,40.4374581337944,-3.6783083307347,TRUE
9994,25,9,2016,2024,barajas,16_19,14260,87.97,172,URB,21,Jardines de Aranjuez - Jardines de Aranjuez-Paseo Alameda de Osuna,40.4539359173495,-3.60152938606075,TRUE
11347,25,7,2018,2024,vicÃ¡lvaro,12_15,14285,88.12,173,,,,,,FALSE
3991,24,7,2017,2024,chamartÃ­n,08_11,14309,88.27,174,,,,,,FALSE
6957,24,7,2017,2024,fuencarral-el pardo,12_15,14333,88.42,175,,,,,,FALSE
10075,24,4,2019,2023,fuencarral-el pardo,16_19,14357,88.57,176,URB,8,(MICRO)AV. VENTISQUERO CONDESA (DETRÁS GRUPO 9),40.4956109234769,-3.71918971868022,TRUE
4333,23,4,2020,2024,centro,16_19,14380,88.71,177,,,,,,FALSE
4721,23,6,2017,2024,fuencarral-el pardo,20_23,14403,88.85,178,,,,,,FALSE
6710,23,6,2016,2024,fuencarral-el pardo,20_23,14426,88.99,179,,,,,,FALSE
9953,23,6,2019,2024,moratalaz,08_11,14449,89.14,180,URB,14,Corregidor Diego Valderrabano - Alfredo Brañas-Dr. Garcia Tapia,40.4127238606123,-3.65796731883795,TRUE
11228,23,4,2019,2024,hortaleza,16_19,14472,89.28,181,URB,16,José Antonio Fernández Ordóñez - Av. Juan Antonio Samaranch-Gta. Javier Bellosillo,40.4910867989315,-3.6093248222827,TRUE
4271,22,7,2016,2023,salamanca,12_15,14494,89.41,182,,,,,,FALSE
4955,22,5,2019,2024,usera,16_19,14516,89.55,183,URB,11,(MICRO) AV. POBLADOS E-S(GIRO A C.TOLEDO SENTIDO SUR),40.3740397597943,-3.71978990596191,TRUE
10008,22,8,2016,2024,san blas-canillejas,08_11,14538,89.69,184,URB,20,Alcalá - Albarracín-Tampico,40.4393341334654,-3.63252137078265,TRUE
10749,22,8,2016,2024,moratalaz,12_15,14560,89.82,185,URB,14,Camino Vinateros - M-30-Corregidor Diego Valerrabano,40.4106813308769,-3.66040435022403,TRUE
0,21,5,2016,2024,chamberÃ­,08_11,14581,89.95,186,,,,,,FALSE
4800,21,7,2016,2024,usera,08_11,14602,90.08,187,,,,,,FALSE
4892,21,6,2019,2024,latina,16_19,14623,90.21,188,,,,,,FALSE
9927,20,6,2016,2024,moratalaz,08_11,14643,90.33,189,URB,14,Camino Vinateros - M-30-Corregidor Diego Valerrabano,40.4107534261448,-3.66039399171685,TRUE
10019,20,5,2016,2023,fuencarral-el pardo,12_15,14663,90.46,190,,,,,,FALSE
3890,19,5,2016,2024,retiro,08_11,14682,90.57,191,,,,,,FALSE
10006,19,5,2019,2024,ciudad lineal,04_07,14701,90.69,192,,,,,,FALSE
3879,18,6,2016,2024,retiro,16_19,14719,90.8,193,,,,,,FALSE
4280,18,5,2019,2024,centro,12_15,14737,90.91,194,,,,,,FALSE
7011,18,5,2016,2023,salamanca,20_23,14755,91.02,195,URB,4,(MICRO) Pl. Colón (Delante Gr. 6) - (MICRO) Pl. Colón (Delante Gr. 6),40.42552784045,-3.69037359172057,TRUE
9947,18,6,2019,2024,moratalaz,16_19,14773,91.14,196,URB,14,Camino Vinateros - Marroquina-Corregidor Jose Pasamonte,40.4092314526631,-3.6484815757566,TRUE
10875,18,7,2016,2024,moncloa-aravaca,12_15,14791,91.25,197,URB,9,FERRAZ N-S (P.M 16045+16041 ),40.4224023845059,-3.71373353101758,TRUE
11382,18,6,2019,2024,fuencarral-el pardo,12_15,14809,91.36,198,M30,8,PM23189,40.4840391892723,-3.67819964293563,TRUE
4255,17,5,2016,2023,centro,08_11,14826,91.46,199,,,,,,FALSE
4276,17,5,2019,2024,centro,08_11,14843,91.57,200,,,,,,FALSE
4694,17,6,2017,2024,centro,08_11,14860,91.67,201,,,,,,FALSE
9949,17,6,2017,2024,moratalaz,20_23,14877,91.78,202,URB,14,Av. Moratalaz O-E - Arroyo Media Legua-Arroyo Pilillas,40.4064813141634,-3.65629828901023,TRUE
10777,17,6,2017,2024,puente de vallecas,20_23,14894,91.88,203,,,,,,FALSE
11358,17,5,2020,2024,fuencarral-el pardo,00_03,14911,91.99,204,URB,8,MONASTERIO DE SILOS ENTRE MONASTERIO DE LIEBANA Y MONASTERIO DE POYO,40.5076108772653,-3.69370210262513,TRUE
11381,17,5,2019,2024,fuencarral-el pardo,04_07,14928,92.09,205,M30,8,PM23185,40.4840304826919,-3.6778288410654,TRUE
3779,16,4,2019,2024,moratalaz,04_07,14944,92.19,206,,,,,,FALSE
4020,16,5,2018,2023,ciudad lineal,16_19,14960,92.29,207,,,,,,FALSE
4499,16,5,2019,2024,tetuÃ¡n,20_23,14976,92.39,208,,,,,,FALSE
4865,16,4,2019,2024,moncloa-aravaca,12_15,14992,92.49,209,URB,9,"(MICRO) ANA TERESA, 29A O-E (A. VINDEL - PLEYADES)",40.4610893208335,-3.78435818131292,TRUE
4913,16,4,2019,2022,latina,12_15,15008,92.58,210,URB,10,OCAÑA Ø5 O-E(CAMARENA-VALMOJADO),40.3865463798848,-3.76015356111557,TRUE
5036,16,4,2019,2023,carabanchel,16_19,15024,92.68,211,URB,11,(MICRO)GRAL. RICARDOS O-E(BLASON-PSO. MARCELINO CAMACHO)GIRO PSO. MARCELINO CAMACHO,40.3845101689483,-3.73971992840779,TRUE
5450,16,6,2016,2022,chamartin,08_11,15040,92.78,212,,,,,,FALSE
6860,16,6,2019,2024,arganzuela,12_15,15056,92.88,213,other,2,15RR60PM03,40.4002525602445,-3.71215219136937,TRUE
7072,16,6,2016,2024,salamanca,16_19,15072,92.98,214,URB,4,O´Donnell E-S (giro a Dr. Esquerdo) - O´Donnell E-S (giro a Dr. Esquerdo),40.4214224748317,-3.6689632779117,TRUE
9955,16,7,2016,2024,moratalaz,08_11,15088,93.08,215,URB,14,Salida M-30 - M-30-Corregidor Diego Valderrabano,40.4141046841749,-3.65916093242902,TRUE
10565,16,7,2018,2024,fuencarral-el pardo,08_11,15104,93.18,216,URB,8,(MICRO) RONDA DE LA COMUNICACION (JUNTO GR-2,40.5131938501844,-3.6638480746772,TRUE
10765,16,4,2016,2022,hortaleza,16_19,15120,93.28,217,URB,16,Ana de Austria - Isabel Clara Eugenia - Príncipe Carlos,40.4953945631887,-3.65638976614088,TRUE
11170,16,5,2016,2023,hortaleza,12_15,15136,93.37,218,URB,16,Carmen Rico Godoy - Rocio Jurado  - Av. Fuerzas Armadas,40.4861745700976,-3.63311109696123,TRUE
11350,16,6,2018,2024,chamartÃ­n,08_11,15152,93.47,219,URB,5,ALFONSO XIII (GIRO A STA MªMAGDALENA)JOSE MªSOLER-STA MªMAGDA.),40.4596244607047,-3.66879200097376,TRUE
11372,16,5,2019,2023,fuencarral-el pardo,16_19,15168,93.57,220,M30,5,PM23161,40.4834794682644,-3.68091260915307,TRUE
4038,15,5,2016,2023,ciudad lineal,20_23,15183,93.66,221,,,,,,FALSE
4240,15,7,2016,2024,arganzuela,08_11,15198,93.76,222,,,,,,FALSE
5620,15,6,2017,2024,chamartÃ­n,16_19,15213,93.85,223,,,,,,FALSE
6145,15,5,2017,2024,ciudad lineal,16_19,15228,93.94,224,,,,,,FALSE
6188,15,5,2020,2024,ciudad lineal,20_23,15243,94.03,225,,,,,,FALSE
9948,15,5,2016,2024,moratalaz,12_15,15258,94.13,226,URB,14,Camino Vinateros - Corregidor Jose Pasamontes-Marroquina,40.4092932930388,-3.64887944272969,TRUE
10003,15,5,2016,2023,ciudad lineal,00_03,15273,94.22,227,,,,,,FALSE
