model_spec,split,scope,n_rows,target_mean,target_variance,zero_pct,mean_poisson_deviance,mae,rmse,pearson_dispersion,calibration_mean_abs_gap_decile,mean_poisson_deviance_base,mae_base,rmse_base,pearson_dispersion_base,calibration_gap_base,delta_mean_poisson_deviance,delta_mae,delta_rmse,delta_pearson_dispersion,delta_calibration_gap,traffic_block_description,includes_traffic,includes_support_quality,includes_vmed,uses_transformed_traffic
traffic_B_core_support,test,overall,74604,0.0261514127928797,0.0260040292433426,97.409,0.180793862613978,0.0402699500524383,0.16030511309921,51.9130129033676,0.010731998535313,0.182501988736839,0.0399049252405633,0.160472465753578,54.9724888962861,0.0111233386268181,-0.00170812612286078,0.000365024811875045,-0.000167352654368569,-3.0594759929185,-0.00039134009150509,Core traffic + support/quality block.,TRUE,TRUE,FALSE,FALSE
traffic_B_core_support,test,covered_only,66417,0.0264239577216676,0.0263283840369561,97.3847,0.182420659505181,0.0409215435293083,0.161289180132173,58.1016987805988,0.0107304679631216,0.18401049600482,0.0401685324423121,0.1614645155341,61.5512076689944,0.0114339039120753,-0.00158983649963854,0.000753011086996186,-0.000175335401927129,-3.44950888839557,-0.000703435948953715,Core traffic + support/quality block.,TRUE,TRUE,FALSE,FALSE
traffic_B_core_support,test,positive_only,1933,1.00931195033626,0.0113004062598071,0,5.83511111935579,0.98290821900821,0.988527919468667,2003.00779972916,0.982901577942841,5.93244283751385,0.984523466757662,0.990230621858093,2121.10376535806,0.984529032355958,-0.0973317181580642,-0.00161524774945165,-0.00170270238942605,-118.095965628896,-0.00162745441311662,Core traffic + support/quality block.,TRUE,TRUE,FALSE,FALSE
traffic_B_core_support,test,zero_only,72671,0,0,100,0.030392805008029,0.0151964025040145,0.0197164678574947,0.0151964025040145,0.0151964656092134,0.0295574075327,0.01477870376635,0.0188210139789927,0.01477870376635,0.0147787634905142,0.000835397475328983,0.000417698737664491,0.000895453878502046,0.000417698737664488,0.000417702118699199,Core traffic + support/quality block.,TRUE,TRUE,FALSE,FALSE
traffic_C_core_support_vmed,train,overall,149208,0.0230148517505764,0.0227936155749296,97.7139,0.160504944757432,0.0442707317578671,0.149763898385646,1.02445796130961,0.00273768696160362,0.161049996606558,0.0443191118631956,0.149850700181895,1.02414019923208,0.0029123719388742,-0.000545051849125622,-4.83801053284688e-05,-8.68017962484258e-05,0.000317762077525208,-0.000174684977270572,Core traffic + support/quality + vmed.,TRUE,TRUE,TRUE,FALSE
traffic_C_core_support_vmed,train,covered_only,135237,0.0233220198614285,0.0230888398751594,97.6833,0.16242577555646,0.0448506115835409,0.150748249136468,1.02647966746761,0.00259617699269379,0.162871518618636,0.0446442334017191,0.150830068350502,1.04271751456482,0.00297594617619647,-0.000445743062176152,0.000206378181821808,-8.18192140336904e-05,-0.0162378470972082,-0.000379769183502682,Core traffic + support/quality + vmed.,TRUE,TRUE,TRUE,FALSE
traffic_C_core_support_vmed,train,positive_only,3411,1.0067428906479,0.00669938812759478,0,5.08445453210803,0.968271372018358,0.971861918180231,43.8447815294373,0.968270747815641,5.10618053550114,0.969329521942322,0.972904263546096,43.8298234545536,0.969329153449218,-0.0217260033931153,-0.00105814992396358,-0.00104234536586545,0.0149580748837863,-0.00105840563357607,Core traffic + support/quality + vmed.,TRUE,TRUE,TRUE,FALSE
traffic_C_core_support_vmed,train,zero_only,145797,0,0,100,0.04530646987487,0.022653234937435,0.0292662604595718,0.022653234937435,0.0226532453157562,0.0453559818588643,0.0226779909294322,0.0289085456143068,0.0226779909294322,0.0226779942731727,-4.95119839943187e-05,-2.47559919971593e-05,0.000357714845265023,-2.47559919971593e-05,-2.47489574164844e-05,Core traffic + support/quality + vmed.,TRUE,TRUE,TRUE,FALSE
traffic_C_core_support_vmed,validation,overall,74604,0.0216074205136454,0.0218110376007936,97.8674,0.1545729332584,0.0373258095883456,0.146718247767599,1.26946611029883,0.00468783994411237,0.155532483827395,0.037090893765367,0.146838541020533,1.29647924383682,0.00498348408318944,-0.000959550568995327,0.000234915822978674,-0.000120293252933917,-0.0270131335379886,-0.000295644139077066,Core traffic + support/quality + vmed.,TRUE,TRUE,TRUE,FALSE
traffic_C_core_support_vmed,validation,covered_only,67249,0.0220821127451709,0.0223383306949414,97.823,0.156912111101815,0.0380436245633226,0.148460281255591,1.25285430701717,0.00503272754930425,0.157889877834427,0.0375852945566837,0.148582971788623,1.30717228914798,0.00540583390146053,-0.000977766732612212,0.000458330006638946,-0.000122690533031655,-0.0543179821308046,-0.000373106352156288,Core traffic + support/quality + vmed.,TRUE,TRUE,TRUE,FALSE
